Launch Id,Launch Status,Launch Suborbital,Rocket Name,Rocket Organisation,Rocket Price,Rocket Payload to LEO,Location,Launch Year,Launch Year Mon,USD/kg to LEO,2021 Mult,USD/kg to LEO CPI Adjusted,Rocket Price CPI Adjusted,Dum
1338,Success,Orbital,Soyuz ST-A/Fregat,Arianespace,30,8500,"ELS, Guiana Space Centre, French Guiana, France",2011,2011-12,35294.11765,1.204637702,42516.62477,36.13913105,1
1339,Success,Orbital,Soyuz ST-A/Fregat-M,Arianespace,30,8500,"ELS, Guiana Space Centre, French Guiana, France",2014,2014-04,35294.11765,1.14460834,40397.94142,34.3382502,1
1340,Success,Orbital,Soyuz ST-A/Fregat-M,Arianespace,30,8500,"ELS, Guiana Space Centre, French Guiana, France",2016,2016-04,35294.11765,1.129008737,39847.3672,33.87026212,1
1341,Success,Orbital,Soyuz ST-B/Fregat-MT,Arianespace,30,9000,"ELS, Guiana Space Centre, French Guiana, France",2013,2013-12,33333.33333,1.163176037,38772.53456,34.8952811,1
1342,Failure,Orbital,Volna,SRC,,100,"K-496 Submarine, Barents Sea Launch Area, Barents Sea",2005,2005-06,,1.387455197,,,1
1343,Success,Orbital,Shtil',SRC,,220,"K-407 Submarine, Barents Sea Launch Area, Barents Sea",1998,1998-07,,1.662392638,,,1
1344,Success,Orbital,Shtil',SRC,,220,"K-84 Submarine, Barents Sea Launch Area, Barents Sea",2006,2006-05,,1.344097222,,,1
1345,Partial Failure,Orbital,START-1,MITT,,532,"Site 158, Plesetsk Cosmodrome, Russia",1993,1993-03,,1.875224913,,,1
1346,Failure,Orbital,START,MITT,,850,"Site 158, Plesetsk Cosmodrome, Russia",1995,1995-03,,1.778018373,,,1
1347,Success,Orbital,Zenit-2,VKS RF,,13500,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",2000,2000-02,,1.573577236,,,1
1348,Success,Orbital,Zenit-2,VKS RF,,13500,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",2000,2000-09,,1.573577236,,,1
1349,Success,Orbital,Zenit-2,VKS RF,,13500,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",2001,2001-12,,1.530039526,,,1
1350,Success,Orbital,Zenit-2,VKS RF,,13500,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",2004,2004-06,,1.434462679,,,1
1351,Success,Orbital,START-1,MITT,,532,"Site 5, Svobodny Cosmodrome, Russia",1997,1997-12,,1.688286604,,,1
1352,Success,Orbital,START-1,MITT,,532,"Site 5, Svobodny Cosmodrome, Russia",1997,1997-03,,1.688286604,,,1
1353,Success,Orbital,START-1,MITT,,532,"Site 5, Svobodny Cosmodrome, Russia",2000,2000-12,,1.573577236,,,1
1354,Success,Orbital,START-1,MITT,,532,"Site 5, Svobodny Cosmodrome, Russia",2006,2006-04,,1.344097222,,,1
1355,Success,Orbital,START-1,MITT,,532,"Site 5, Svobodny Cosmodrome, Russia",2001,2001-02,,1.530039526,,,1
1356,Failure,Orbital,Taepodong-1,KCST,,20,"Pad 1, Tonghae Satellite Launching Ground, North Korea",1998,1998-08,,1.662392638,,,1
1357,Failure,Orbital,Unha-2,KCST,,100,"Pad 1, Tonghae Satellite Launching Ground, North Korea",2009,2009-04,,1.263045535,,,1
1358,Failure,Orbital,Unha-3,KCST,,200,"Pad 1, Sohae Satellite Launching Station, North Korea",2012,2012-04,,1.180213769,,,1
1359,Success,Orbital,Unha-3,KCST,,200,"Pad 1, Sohae Satellite Launching Station, North Korea",2012,2012-12,,1.180213769,,,1
1360,Success,Orbital,Unha-3,KCST,,200,"Pad 1, Sohae Satellite Launching Station, North Korea",2016,2016-02,,1.129008737,,,1
1361,Success,Orbital,Soyuz 2.1b/Fregat,Starsem,25,7500,"Site 1S, Vostochny Cosmodrome, Russia",2021,2021-04,33333.33333,1,33333.33333,25,1
1362,Success,Orbital,Shavit,Israel Aerospace Industries,,160,"Pad 1, Palmachim Airbase, Israel",1988,1988-09,,2.290532544,,,1
1363,Success,Orbital,Shavit,Israel Aerospace Industries,,160,"Pad 1, Palmachim Airbase, Israel",1990,1990-04,,2.073221117,,,1
1364,Success,Orbital,Shavit-1,Israel Aerospace Industries,,225,"Pad 1, Palmachim Airbase, Israel",1995,1995-04,,1.778018373,,,1
1365,Failure,Orbital,Shavit-1,Israel Aerospace Industries,,225,"Pad 1, Palmachim Airbase, Israel",1998,1998-01,,1.662392638,,,1
1366,Success,Orbital,Shavit-1,Israel Aerospace Industries,,225,"Pad 1, Palmachim Airbase, Israel",2002,2002-05,,1.506225681,,,1
1367,Failure,Orbital,Shavit-1,Israel Aerospace Industries,,225,"Pad 1, Palmachim Airbase, Israel",2004,2004-09,,1.434462679,,,1
1368,Success,Orbital,Shavit-2,Israel Aerospace Industries,,350,"Pad 1, Palmachim Airbase, Israel",2007,2007-06,,1.306874632,,,1
1369,Success,Orbital,Shavit-2,Israel Aerospace Industries,,350,"Pad 1, Palmachim Airbase, Israel",2010,2010-06,,1.242662435,,,1
1370,Success,Orbital,Shavit-2,Israel Aerospace Industries,,350,"Pad 1, Palmachim Airbase, Israel",2014,2014-04,,1.14460834,,,1
1371,Success,Orbital,Shavit-2,Israel Aerospace Industries,,350,"Pad 1, Palmachim Airbase, Israel",2016,2016-09,,1.129008737,,,1
1372,Failure,Orbital,Safir-1,Iranian Space Agency,,30,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2008,2008-08,,1.258551901,,,1
1373,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-4E, Vandenberg SFB, California, USA",2021,2021-11,21929.82456,1,21929.82456,50,1
1377,Success,Orbital,Safir-1,Iranian Space Agency,,30,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2009,2009-02,,1.263045535,,,1
1378,Success,Orbital,Safir-1A,Iranian Space Agency,,50,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2011,2011-06,,1.204637702,,,1
1379,Success,Orbital,Safir-1B,Iranian Space Agency,,50,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2012,2012-02,,1.180213769,,,1
1380,Success,Orbital,Safir-1B+,Iranian Space Agency,,50,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2015,2015-02,,1.143251328,,,1
1381,Failure,Orbital,Safir-1B+,Iranian Space Agency,,50,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2012,2012-05,,1.180213769,,,1
1382,Failure,Orbital,Safir-1B+,Iranian Space Agency,,50,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2012,2012-09,,1.180213769,,,1
1385,Failure,Orbital,VLS-1,AEB,,380,"VLS Pad, Alcântara Launch Center, Maranhão, Brazil",1999,1999-12,,1.626470588,,,1
1386,Failure,Orbital,VLS-1,AEB,,380,"VLS Pad, Alcântara Launch Center, Maranhão, Brazil",1997,1997-11,,1.688286604,,,1
1387,Prelaunch Failure,Orbital,VLS-1,AEB,,380,"VLS Pad, Alcântara Launch Center, Maranhão, Brazil",2003,2003-08,,1.472663043,,,1
1388,Success,Orbital,Redstone Sparta,ABMA,,45,"LA-5B, RAAF Woomera Range Complex, Australia",1967,1967-11,,8.112874251,,,1
1389,Success,Orbital,Delta II 7925,Boeing,,,"SLC-17A, Cape Canaveral SFS, Florida, USA",2003,2003-06,,1.472663043,,,1
1390,Success,Orbital,Delta II 7925H,Boeing,,,"SLC-17B, Cape Canaveral SFS, Florida, USA",2003,2003-07,,1.472663043,,,1
1391,Failure,Orbital,KSLV-1,KARI,,100,"LC-1, Naro Space Center, South Korea",2009,2009-08,,1.263045535,,,1
1392,Failure,Orbital,KSLV-1,KARI,,100,"LC-1, Naro Space Center, South Korea",2010,2010-06,,1.242662435,,,1
1393,Success,Orbital,KSLV-1,KARI,,100,"LC-1, Naro Space Center, South Korea",2013,2013-01,,1.163176037,,,1
1394,Success,Orbital,Lambda-IV S,UT,,12,"Uchinoura Space Center, Japan",1970,1970-02,,6.983762887,,,1
1395,Failure,Orbital,Lambda-IV S,UT,,12,"Uchinoura Space Center, Japan",1966,1966-09,,8.363271605,,,1
1396,Failure,Orbital,Lambda-IV S,UT,,12,"Uchinoura Space Center, Japan",1966,1966-12,,8.363271605,,,1
1397,Failure,Orbital,Lambda-IV S,UT,,12,"Uchinoura Space Center, Japan",1967,1967-04,,8.112874251,,,1
1398,Failure,Orbital,Lambda-IV S,UT,,12,"Uchinoura Space Center, Japan",1969,1969-09,,7.383378747,,,1
1400,Success,Orbital,H-I (9 SO),MHI,,3200,"LA-Y1, Tanegashima Space Center, Japan",1992,1992-02,,1.931361368,,,1
1401,Success,Orbital,H-I UM-129A (9SO),MHI,,3200,"LA-Y1, Tanegashima Space Center, Japan",1991,1991-08,,1.989500734,,,1
1402,Success,Orbital,H-I UM-129A (9SO),MHI,,3200,"LA-Y1, Tanegashima Space Center, Japan",1990,1990-08,,2.073221117,,,1
1404,Success,Orbital,H-I UM-129A (9SO),MHI,,3200,"LA-Y1, Tanegashima Space Center, Japan",1988,1988-09,,2.290532544,,,1
1403,Success,Orbital,H-I UM-129A (6SO),MHI,,3200,"LA-Y1, Tanegashima Space Center, Japan",1989,1989-09,,2.185241935,,,1
1405,Success,Orbital,H-I UM-129A (9SO),MHI,,3200,"LA-Y1, Tanegashima Space Center, Japan",1988,1988-02,,2.290532544,,,1
1406,Success,Orbital,H-I (9 SO),MHI,,3200,"LA-Y1, Tanegashima Space Center, Japan",1990,1990-02,,2.073221117,,,1
1407,Success,Orbital,H-I UM-129A (9SO),MHI,,3200,"LA-Y1, Tanegashima Space Center, Japan",1987,1987-08,,2.385299296,,,1
1408,Success,Orbital,H-I (9 SO),MHI,,3200,"LA-Y1, Tanegashima Space Center, Japan",1986,1986-08,,2.472354015,,,1
1409,Success,Orbital,N-I,MHI,,1200,"LA-Y1, Tanegashima Space Center, Japan",1975,1975-09,,5.0366171,,,1
1410,Success,Orbital,N-I,MHI,,1200,"LA-Y1, Tanegashima Space Center, Japan",1976,1976-02,,4.762214411,,,1
1411,Success,Orbital,N-I,MHI,,1200,"LA-Y1, Tanegashima Space Center, Japan",1978,1978-02,,4.155981595,,,1
1413,Success,Orbital,N-I,MHI,,1200,"LA-Y1, Tanegashima Space Center, Japan",1982,1982-09,,2.807979275,,,1
1412,Success,Orbital,N-I Star-37E,MHI,,1200,"LA-Y1, Tanegashima Space Center, Japan",1977,1977-02,,4.471452145,,,1
1414,Failure,Orbital,N-I Star-37E,MHI,,1200,"LA-Y1, Tanegashima Space Center, Japan",1979,1979-02,,3.732369146,,,1
1416,Success,Orbital,N-II,MHI,,2000,"LA-Y1, Tanegashima Space Center, Japan",1987,1987-02,,2.385299296,,,1
1415,Success,Orbital,N-I Star-37E,MHI,,1200,"LA-Y1, Tanegashima Space Center, Japan",1980,1980-02,,3.288470874,,,1
1417,Success,Orbital,N-II Star-37E,MHI,,2000,"LA-Y1, Tanegashima Space Center, Japan",1981,1981-08,,2.980968097,,,1
1418,Success,Orbital,N-II Star-37E,MHI,,2000,"LA-Y1, Tanegashima Space Center, Japan",1981,1981-02,,2.980968097,,,1
1419,Success,Orbital,N-II Star-37E,MHI,,2000,"LA-Y1, Tanegashima Space Center, Japan",1983,1983-02,,2.720582329,,,1
1420,Success,Orbital,N-II Star-37E,MHI,,2000,"LA-Y1, Tanegashima Space Center, Japan",1983,1983-08,,2.720582329,,,1
1421,Success,Orbital,N-II Star-37E,MHI,,2000,"LA-Y1, Tanegashima Space Center, Japan",1984,1984-08,,2.60798845,,,1
1422,Success,Orbital,N-II Star-37E,MHI,,2000,"LA-Y1, Tanegashima Space Center, Japan",1984,1984-01,,2.60798845,,,1
1423,Success,Orbital,N-II Star-37E,MHI,,2000,"LA-Y1, Tanegashima Space Center, Japan",1986,1986-02,,2.472354015,,,1
1424,Failure,Orbital,H-IIS,MHI,,10060,"LA-Y1, Tanegashima Space Center, Japan",1999,1999-11,,1.626470588,,,1
1425,Partial Failure,Orbital,H-II,MHI,,10060,"LA-Y1, Tanegashima Space Center, Japan",1998,1998-02,,1.662392638,,,1
1426,Success,Orbital,H-II,MHI,,10060,"LA-Y1, Tanegashima Space Center, Japan",1994,1994-02,,1.828407557,,,1
1427,Success,Orbital,H-II,MHI,,10060,"LA-Y1, Tanegashima Space Center, Japan",1994,1994-08,,1.828407557,,,1
1428,Success,Orbital,H-II,MHI,,10060,"LA-Y1, Tanegashima Space Center, Japan",1995,1995-03,,1.778018373,,,1
1429,Success,Orbital,H-II (2 SSB),MHI,,10060,"LA-Y1, Tanegashima Space Center, Japan",1996,1996-08,,1.727023582,,,1
1430,Success,Orbital,H-II,MHI,,10060,"LA-Y1, Tanegashima Space Center, Japan",1997,1997-11,,1.688286604,,,1
1431,Failure,Orbital,Mu-V/M-24,ISAS,,1800,"Mu Pad, Uchinoura Space Center, Japan",2000,2000-02,,1.573577236,,,1
1432,Success,Orbital,Mu-V/M-24,ISAS,,1800,"Mu Pad, Uchinoura Space Center, Japan",1998,1998-07,,1.662392638,,,1
1433,Success,Orbital,Mu-V/M-24,ISAS,,1800,"Mu Pad, Uchinoura Space Center, Japan",1997,1997-02,,1.688286604,,,1
1434,Success,Orbital,Mu-V/M-25,ISAS,,1800,"Mu Pad, Uchinoura Space Center, Japan",2005,2005-07,,1.387455197,,,1
1435,Success,Orbital,Mu-V/M-25,ISAS,,1800,"Mu Pad, Uchinoura Space Center, Japan",2003,2003-05,,1.472663043,,,1
1436,Success,Orbital,Mu-V/M-25,ISAS,,1800,"Mu Pad, Uchinoura Space Center, Japan",2006,2006-02,,1.344097222,,,1
1437,Success,Orbital,Mu-V/M-25,ISAS,,1800,"Mu Pad, Uchinoura Space Center, Japan",2006,2006-09,,1.344097222,,,1
1438,Failure,Orbital,Mu-IV S,ISAS,,180,"Mu Pad, Uchinoura Space Center, Japan",1970,1970-09,,6.983762887,,,1
1439,Success,Orbital,Mu-IV S,ISAS,,180,"Mu Pad, Uchinoura Space Center, Japan",1971,1971-02,,6.690617284,,,1
1440,Success,Orbital,Mu-IV S,ISAS,,180,"Mu Pad, Uchinoura Space Center, Japan",1972,1972-08,,6.482535885,,,1
1441,Success,Orbital,Mu-IV S,ISAS,,180,"Mu Pad, Uchinoura Space Center, Japan",1971,1971-09,,6.690617284,,,1
1442,Success,Orbital,Mu-III C,ISAS,,195,"Mu Pad, Uchinoura Space Center, Japan",1974,1974-02,,5.496348884,,,1
1443,Success,Orbital,Mu-III C,ISAS,,195,"Mu Pad, Uchinoura Space Center, Japan",1975,1975-02,,5.0366171,,,1
1444,Failure,Orbital,Mu-III C,ISAS,,195,"Mu Pad, Uchinoura Space Center, Japan",1976,1976-02,,4.762214411,,,1
1445,Success,Orbital,Mu-III C,ISAS,,195,"Mu Pad, Uchinoura Space Center, Japan",1979,1979-02,,3.732369146,,,1
1446,Success,Orbital,Mu-III H,ISAS,,270,"Mu Pad, Uchinoura Space Center, Japan",1977,1977-02,,4.471452145,,,1
1447,Success,Orbital,Mu-III H,ISAS,,270,"Mu Pad, Uchinoura Space Center, Japan",1978,1978-02,,4.155981595,,,1
1449,Success,Orbital,Mu-III S,ISAS,,290,"Mu Pad, Uchinoura Space Center, Japan",1980,1980-02,,3.288470874,,,1
1448,Success,Orbital,Mu-III H,ISAS,,270,"Mu Pad, Uchinoura Space Center, Japan",1978,1978-09,,4.155981595,,,1
1451,Success,Orbital,Mu-III S,ISAS,,290,"Mu Pad, Uchinoura Space Center, Japan",1983,1983-02,,2.720582329,,,1
1450,Success,Orbital,Mu-III S,ISAS,,290,"Mu Pad, Uchinoura Space Center, Japan",1981,1981-02,,2.980968097,,,1
1452,Success,Orbital,Mu-III S,ISAS,,290,"Mu Pad, Uchinoura Space Center, Japan",1984,1984-02,,2.60798845,,,1
1453,Success,Orbital,Mu-III S2,ISAS,,770,"Mu Pad, Uchinoura Space Center, Japan",1985,1985-01,,2.51830855,,,1
1454,Success,Orbital,Mu-III S2,ISAS,,770,"Mu Pad, Uchinoura Space Center, Japan",1985,1985-08,,2.51830855,,,1
1455,Success,Orbital,Mu-III S2,ISAS,,770,"Mu Pad, Uchinoura Space Center, Japan",1987,1987-02,,2.385299296,,,1
1456,Success,Orbital,Mu-III S2,ISAS,,770,"Mu Pad, Uchinoura Space Center, Japan",1989,1989-02,,2.185241935,,,1
1457,Success,Orbital,Mu-III S2,ISAS,,770,"Mu Pad, Uchinoura Space Center, Japan",1990,1990-01,,2.073221117,,,1
1458,Success,Orbital,Mu-III S2,ISAS,,770,"Mu Pad, Uchinoura Space Center, Japan",1991,1991-08,,1.989500734,,,1
1459,Partial Failure,Orbital,Mu-III S2,ISAS,,770,"Mu Pad, Uchinoura Space Center, Japan",1995,1995-01,,1.778018373,,,1
1460,Success,Orbital,Mu-III S2,ISAS,,770,"Mu Pad, Uchinoura Space Center, Japan",1993,1993-02,,1.875224913,,,1
1461,Success,Orbital,H-IIA 202,MHI,90,10000,"LA-Y1, Tanegashima Space Center, Japan",2016,2016-11,90000,1.129008737,101610.7864,101.6107864,1
1462,Success,Orbital,H-IIA 202,MHI,90,10000,"LA-Y1, Tanegashima Space Center, Japan",2014,2014-10,90000,1.14460834,103014.7506,103.0147506,1
1463,Success,Orbital,H-IIA 202,MHI,90,10000,"LA-Y1, Tanegashima Space Center, Japan",2015,2015-02,90000,1.143251328,102892.6195,102.8926195,1
1464,Success,Orbital,H-IIA 202,MHI,90,10000,"LA-Y1, Tanegashima Space Center, Japan",2015,2015-03,90000,1.143251328,102892.6195,102.8926195,1
1465,Success,Orbital,H-IIA 204,MHI,,15000,"LA-Y1, Tanegashima Space Center, Japan",2015,2015-11,,1.143251328,,,1
1466,Success,Orbital,H-IIA 202,MHI,90,10000,"LA-Y1, Tanegashima Space Center, Japan",2016,2016-02,90000,1.129008737,101610.7864,101.6107864,1
1467,Success,Orbital,H-IIA 202,MHI,90,10000,"LA-Y1, Tanegashima Space Center, Japan",2014,2014-05,90000,1.14460834,103014.7506,103.0147506,1
1468,Success,Orbital,H-IIA 202,MHI,90,10000,"LA-Y1, Tanegashima Space Center, Japan",2014,2014-02,90000,1.14460834,103014.7506,103.0147506,1
1470,Success,Orbital,H-IIA 202,MHI,90,10000,"LA-Y1, Tanegashima Space Center, Japan",2011,2011-12,90000,1.204637702,108417.3932,108.4173932,1
1469,Success,Orbital,H-IIA 202,MHI,90,10000,"LA-Y1, Tanegashima Space Center, Japan",2013,2013-01,90000,1.163176037,104685.8433,104.6858433,1
1471,Success,Orbital,H-IIA 202,MHI,90,10000,"LA-Y1, Tanegashima Space Center, Japan",2012,2012-05,90000,1.180213769,106219.2392,106.2192392,1
1472,Success,Orbital,H-IIA 202,MHI,90,10000,"LA-Y1, Tanegashima Space Center, Japan",2011,2011-09,90000,1.204637702,108417.3932,108.4173932,1
1473,Success,Orbital,H-IIA 202,MHI,90,10000,"LA-Y1, Tanegashima Space Center, Japan",2010,2010-09,90000,1.242662435,111839.6192,111.8396192,1
1474,Success,Orbital,H-IIA 202,MHI,90,10000,"LA-Y1, Tanegashima Space Center, Japan",2009,2009-11,90000,1.263045535,113674.0982,113.6740982,1
1475,Success,Orbital,H-IIA 202,MHI,90,10000,"LA-Y1, Tanegashima Space Center, Japan",2010,2010-05,90000,1.242662435,111839.6192,111.8396192,1
1477,Success,Orbital,H-IIA 2024,MHI,,,"LA-Y1, Tanegashima Space Center, Japan",2008,2008-02,,1.258551901,,,1
1476,Success,Orbital,H-IIA 202,MHI,90,10000,"LA-Y1, Tanegashima Space Center, Japan",2009,2009-01,90000,1.263045535,113674.0982,113.6740982,1
1478,Success,Orbital,H-IIA 2022,MHI,,,"LA-Y1, Tanegashima Space Center, Japan",2007,2007-09,,1.306874632,,,1
1479,Success,Orbital,H-IIA 2024,MHI,,,"LA-Y1, Tanegashima Space Center, Japan",2007,2007-02,,1.306874632,,,1
1480,Success,Orbital,H-IIA 204,MHI,,15000,"LA-Y1, Tanegashima Space Center, Japan",2006,2006-12,,1.344097222,,,1
1481,Success,Orbital,H-IIA 202,MHI,90,10000,"LA-Y1, Tanegashima Space Center, Japan",2006,2006-09,90000,1.344097222,120968.75,120.96875,1
1482,Success,Orbital,H-IIA 2024,MHI,,,"LA-Y1, Tanegashima Space Center, Japan",2006,2006-02,,1.344097222,,,1
1483,Success,Orbital,H-IIA 2022,MHI,,,"LA-Y1, Tanegashima Space Center, Japan",2006,2006-01,,1.344097222,,,1
1484,Success,Orbital,H-IIA 2022,MHI,,,"LA-Y1, Tanegashima Space Center, Japan",2005,2005-02,,1.387455197,,,1
1485,Success,Orbital,H-IIA 2024,MHI,,,"LA-Y1, Tanegashima Space Center, Japan",2003,2003-03,,1.472663043,,,1
1486,Failure,Orbital,H-IIA 2024,MHI,,,"LA-Y1, Tanegashima Space Center, Japan",2003,2003-11,,1.472663043,,,1
1487,Success,Orbital,H-IIA 202,MHI,90,10000,"LA-Y1, Tanegashima Space Center, Japan",2002,2002-12,90000,1.506225681,135560.3113,135.5603113,1
1488,Success,Orbital,H-IIA 2024,MHI,,,"LA-Y1, Tanegashima Space Center, Japan",2002,2002-09,,1.506225681,,,1
1489,Success,Orbital,H-IIA 2024,MHI,,,"LA-Y1, Tanegashima Space Center, Japan",2002,2002-02,,1.506225681,,,1
1490,Success,Orbital,H-IIA 202,MHI,90,10000,"LA-Y1, Tanegashima Space Center, Japan",2001,2001-08,90000,1.530039526,137703.5573,137.7035573,1
1491,Success,Orbital,Strela,VKS RF,,1850,"Site 175/59, Baikonur Cosmodrome, Kazakhstan",2003,2003-12,,1.472663043,,,1
1492,Success,Orbital,Strela,VKS RF,,1850,"Site 175/59, Baikonur Cosmodrome, Kazakhstan",2013,2013-06,,1.163176037,,,1
1493,Success,Orbital,Strela,VKS RF,,1850,"Site 175/59, Baikonur Cosmodrome, Kazakhstan",2014,2014-12,,1.14460834,,,1
1494,Success,Orbital,Long March 11H,CASC,5.3,700,"Tai Rui Barge, Yellow Sea",2019,2019-06,75714.28571,1.059896658,80249.31842,5.61745229,1
1495,Success,Orbital,Delta II 7920H,Boeing,,6097,"SLC-17B, Cape Canaveral SFS, Florida, USA",2003,2003-08,,1.472663043,,,1
1496,Success,Orbital,Delta II 7925,Boeing,,,"SLC-17A, Cape Canaveral SFS, Florida, USA",2003,2003-12,,1.472663043,,,1
1497,Success,Orbital,Delta II 7925,Boeing,,,"SLC-17B, Cape Canaveral SFS, Florida, USA",2004,2004-03,,1.434462679,,,1
1498,Success,Orbital,Delta II 7920-10C,Boeing,,4844,"SLC-2W, Vandenberg SFB, California, USA",2004,2004-04,,1.434462679,,,1
1499,Success,Orbital,Delta II 7925,Boeing,,,"SLC-17B, Cape Canaveral SFS, Florida, USA",2004,2004-06,,1.434462679,,,1
1500,Success,Orbital,Delta II 7920-10L,Boeing,,4805,"SLC-2W, Vandenberg SFB, California, USA",2004,2004-07,,1.434462679,,,1
1501,Success,Orbital,Delta II 7925H,Boeing,,,"SLC-17B, Cape Canaveral SFS, Florida, USA",2004,2004-08,,1.434462679,,,1
1502,Success,Orbital,Delta II 7925,Boeing,,,"SLC-17B, Cape Canaveral SFS, Florida, USA",2004,2004-11,,1.434462679,,,1
1503,Success,Orbital,Delta II 7320-10C,Boeing,,2703,"SLC-17A, Cape Canaveral SFS, Florida, USA",2004,2004-11,,1.434462679,,,1
1504,Success,Orbital,Delta II 7420-10C,Boeing,,3099,"SLC-2W, Vandenberg SFB, California, USA",2006,2006-04,,1.344097222,,,1
1505,Success,Orbital,Delta II 7925,Boeing,,,"SLC-17A, Cape Canaveral SFS, Florida, USA",2006,2006-06,,1.344097222,,,1
1506,Success,Orbital,Delta II 7925,Boeing,,,"SLC-17A, Cape Canaveral SFS, Florida, USA",2006,2006-09,,1.344097222,,,1
1507,Success,Orbital,Delta II 7925-10L,Boeing,,,"SLC-17B, Cape Canaveral SFS, Florida, USA",2006,2006-10,,1.344097222,,,1
1510,Success,Orbital,PSLV-CA,ISRO,21,,"First Launch Pad, Satish Dhawan Space Centre, India",2019,2019-05,,1.059896658,,22.25782983,1
1511,Failure,Orbital,Long March 4C,CASC,64.68,4200,"LC-9, Taiyuan Satellite Launch Center, China",2019,2019-05,154000,1.059896658,163224.0854,68.55411587,1
1513,Success,Orbital,Long March 4B,CASC,64.68,4200,"Taiyuan Satellite Launch Center, China",2019,2019-04,154000,1.059896658,163224.0854,68.55411587,1
1514,Success,Orbital,Delta II 7925,Boeing,,,"SLC-17A, Cape Canaveral SFS, Florida, USA",2006,2006-11,,1.344097222,,,1
1515,Success,Orbital,Delta II 7920-10C,ULA,,4844,"SLC-2W, Vandenberg SFB, California, USA",2006,2006-12,,1.344097222,,,1
1516,Success,Orbital,Delta II 7925-10C,ULA,,,"SLC-17B, Cape Canaveral SFS, Florida, USA",2007,2007-02,,1.306874632,,,1
1517,Success,Orbital,Delta II 7420-10C,ULA,,3099,"SLC-2W, Vandenberg SFB, California, USA",2007,2007-06,,1.306874632,,,1
1518,Success,Orbital,Delta II 7925,ULA,,,"SLC-17A, Cape Canaveral SFS, Florida, USA",2007,2007-08,,1.306874632,,,1
1519,Success,Orbital,Hyperbola-1,i-Space,,300,"Site 95, Jiuquan Satellite Launch Center, China",2019,2019-07,,1.059896658,,,1
1520,Success,Orbital,Delta II 6925,Boeing,,,"SLC-17B, Cape Canaveral SFS, Florida, USA",1989,1989-12,,2.185241935,,,1
1521,Success,Orbital,Electron/Curie,Rocket Lab,7.5,300,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2019,2019-06,250000,1.059896658,264974.1646,7.949224938,1
1523,Success,Orbital,Delta II 7925H,ULA,,,"SLC-17B, Cape Canaveral SFS, Florida, USA",2007,2007-09,,1.306874632,,,1
1526,Success,Orbital,Delta II 7925,ULA,,,"SLC-17A, Cape Canaveral SFS, Florida, USA",2007,2007-12,,1.306874632,,,1
1527,Success,Orbital,Delta II 7925,ULA,,,"SLC-17A, Cape Canaveral SFS, Florida, USA",2008,2008-03,,1.258551901,,,1
1528,Success,Orbital,Delta II 7920H-10C,ULA,,5959,"SLC-17B, Cape Canaveral SFS, Florida, USA",2008,2008-06,,1.258551901,,,1
1529,Success,Orbital,Delta II 7320-10C,ULA,,2703,"SLC-2W, Vandenberg SFB, California, USA",2008,2008-06,,1.258551901,,,1
1531,Success,Orbital,Delta II 7420-10C,ULA,,3099,"SLC-2W, Vandenberg SFB, California, USA",2008,2008-10,,1.258551901,,,1
1533,Success,Orbital,Delta II 7925-10L,ULA,,,"SLC-17B, Cape Canaveral SFS, Florida, USA",2009,2009-03,,1.263045535,,,1
1532,Success,Orbital,Delta II 7320-10C,ULA,,2703,"SLC-2W, Vandenberg SFB, California, USA",2009,2009-02,,1.263045535,,,1
1534,Success,Orbital,Delta II 7920-10C,ULA,,4844,"SLC-2W, Vandenberg SFB, California, USA",2007,2007-09,,1.306874632,,,1
1536,Success,Orbital,Delta II 7925,ULA,,,"SLC-17A, Cape Canaveral SFS, Florida, USA",2007,2007-10,,1.306874632,,,1
1537,Success,Orbital,Delta II 7420-10C,ULA,,3099,"SLC-2W, Vandenberg SFB, California, USA",2007,2007-12,,1.306874632,,,1
1538,Success,Orbital,Delta II 7420-10C,ULA,,3099,"SLC-2W, Vandenberg SFB, California, USA",2008,2008-09,,1.258551901,,,1
1539,Success,Orbital,Delta II 7925,ULA,,,"SLC-17A, Cape Canaveral SFS, Florida, USA",2009,2009-03,,1.263045535,,,1
1540,Success,Orbital,Delta II 7925,ULA,,,"SLC-17A, Cape Canaveral SFS, Florida, USA",2009,2009-08,,1.263045535,,,1
1541,Success,Orbital,Delta II 7920-10C,ULA,,4844,"SLC-17B, Cape Canaveral SFS, Florida, USA",2009,2009-09,,1.263045535,,,1
